GEOID,Y_CntEst,Y_CntMOE,Y_UniEst,Y_UniMoe,Y_PctEst,Y_PctMOE,Y_Pctile,Y_Score,OA_UniEst,OA_UniMoe,OA_PctEst,OA_PctMOE,OA_CntEst,OA_CntMOE,OA_Pctile,OA_Score,F_CntEst,F_CntMOE,F_UniEst,F_UniMoe,F_PctEst,F_PctMOE,F_Pctile,F_Score,RM_CntEst,RM_CntMOE,RM_UniEst,RM_UniMoe,RM_PctEst,RM_PctMOE,RM_Pctile,RM_Score,EM_CntEst,EM_CntMOE,EM_UniEst,EM_UniMoe,EM_PctEst,EM_PctMOE,EM_Pctile,EM_Score,FB_CntEst,FB_CntMOE,FB_UniEst,FB_UniMoe,FB_PctEst,FB_PctMOE,FB_Pctile,FB_Score,LEP_CntEst,LEP_CntMOE,LEP_UniEst,LEP_UniMoe,LEP_PctEst,LEP_PctMOE,LEP_Pctile,LEP_Score,D_CntEst,D_CntMOE,D_UniEst,D_UniMoe,D_PctEst,D_PctMOE,D_Pctile,D_Score,LI_CntEst,LI_CntMOE,LI_UniEst,LI_UniMoe,LI_PctEst,LI_PctMOE,LI_Pctile,LI_Score,IPD_Score
42101005500,1541,680,6385,900,0.241,0.106,0.66,2,6385,900,0.123,0.021,788,106,0.39,2,3169,650,6385,900,0.496,0.056,0.27,2,5578,928,6385,900,0.874,0.145,0.89,4,365,341,6385,900,0.057,0.053,0.59,2,1274,552,6385,900,0.2,0.086,0.88,3,502,216,5834,693,0.086,0.037,0.79,2,785,225,6385,900,0.123,0.032,0.55,2,2286,879,6319,846,0.362,0.139,0.7,2,21
42101005600,332,112,991,172,0.335,0.113,0.97,4,991,172,0.073,0.035,72,34,0.09,1,613,149,991,172,0.619,0.084,0.98,4,917,181,991,172,0.925,0.183,0.92,4,30,28,991,172,0.03,0.028,0.34,2,45,38,991,172,0.045,0.038,0.24,1,8,11,856,162,0.009,0.013,0.12,1,152,61,991,172,0.153,0.06,0.74,2,554,177,991,172,0.559,0.179,0.85,3,22
42101006000,1490,324,6055,584,0.246,0.054,0.7,2,6055,584,0.126,0.038,760,230,0.41,2,2924,368,6055,584,0.483,0.039,0.15,1,4890,594,6055,584,0.808,0.098,0.86,4,127,141,6055,584,0.021,0.023,0.24,1,1113,413,6055,584,0.184,0.068,0.85,3,484,269,5660,552,0.086,0.047,0.79,2,879,232,6055,584,0.145,0.037,0.68,2,3174,800,6055,584,0.524,0.132,0.82,3,20
42101006100,852,187,3366,346,0.253,0.056,0.74,3,3366,346,0.126,0.033,423,101,0.41,2,1726,182,3366,346,0.513,0.043,0.45,2,2889,361,3366,346,0.858,0.107,0.89,4,44,35,3366,346,0.013,0.01,0.14,1,898,236,3366,346,0.267,0.07,0.93,4,420,147,3190,311,0.132,0.044,0.87,3,377,109,3366,346,0.112,0.032,0.48,2,1559,349,3366,346,0.463,0.104,0.78,3,24
42101006200,1749,315,4882,570,0.358,0.065,0.98,4,4882,570,0.054,0.022,266,110,0.04,1,2636,354,4882,570,0.54,0.043,0.75,2,4446,552,4882,570,0.911,0.113,0.92,4,170,197,4882,570,0.035,0.04,0.4,2,736,338,4882,570,0.151,0.069,0.78,3,263,199,4361,502,0.06,0.043,0.69,2,447,149,4882,570,0.092,0.032,0.29,1,2628,538,4882,570,0.538,0.11,0.83,3,22
42101006300,978,231,4025,531,0.243,0.057,0.68,2,4025,531,0.064,0.022,256,88,0.06,1,1889,290,4025,531,0.469,0.047,0.07,1,3599,513,4025,531,0.894,0.127,0.91,4,383,267,4025,531,0.095,0.066,0.77,2,1113,356,4025,531,0.277,0.088,0.94,4,642,276,3673,480,0.175,0.068,0.9,3,776,210,4008,531,0.194,0.043,0.89,3,2637,559,4008,531,0.658,0.139,0.92,4,24
42101006400,926,329,3443,498,0.269,0.096,0.82,3,3443,498,0.097,0.026,334,96,0.2,1,1652,309,3443,498,0.48,0.051,0.13,1,3127,514,3443,498,0.908,0.149,0.92,4,91,109,3443,498,0.026,0.032,0.3,2,543,141,3443,498,0.158,0.041,0.8,3,331,119,3181,406,0.104,0.042,0.83,3,516,166,3443,498,0.15,0.041,0.71,2,2133,517,3443,498,0.62,0.15,0.89,4,23
42101006500,959,198,4107,364,0.234,0.048,0.6,2,4107,364,0.127,0.023,520,92,0.42,2,2221,214,4107,364,0.541,0.043,0.75,3,4050,354,4107,364,0.986,0.086,0.97,4,51,43,4107,364,0.012,0.01,0.12,1,476,180,4107,364,0.116,0.044,0.69,2,98,81,3767,314,0.026,0.021,0.39,2,797,172,4107,364,0.194,0.04,0.89,3,2289,353,4084,366,0.56,0.086,0.85,3,22
42101006600,1122,386,3487,519,0.322,0.111,0.95,4,3487,519,0.139,0.028,483,63,0.51,2,1947,306,3487,519,0.558,0.047,0.85,3,3279,529,3487,519,0.94,0.152,0.93,4,67,100,3487,519,0.019,0.029,0.21,1,569,207,3487,519,0.163,0.059,0.82,3,461,147,3218,457,0.143,0.044,0.88,3,592,152,3484,520,0.17,0.049,0.81,3,2186,457,3450,510,0.634,0.132,0.9,4,27
42101006700,1994,511,6777,921,0.294,0.075,0.9,3,6777,921,0.041,0.021,278,141,0.02,0,3816,760,6777,921,0.563,0.057,0.87,3,5916,840,6777,921,0.873,0.124,0.89,4,231,199,6777,921,0.034,0.029,0.39,2,1520,498,6777,921,0.224,0.073,0.9,3,609,257,6186,818,0.098,0.039,0.82,2,886,266,6762,921,0.131,0.04,0.6,2,3952,819,6762,921,0.584,0.121,0.87,3,22
42101006900,745,266,2321,401,0.321,0.115,0.95,4,2321,401,0.08,0.027,186,59,0.11,1,1299,201,2321,401,0.56,0.069,0.86,3,2293,396,2321,401,0.988,0.171,0.98,4,148,144,2321,401,0.064,0.062,0.64,2,97,108,2321,401,0.042,0.047,0.21,1,81,101,2105,350,0.038,0.048,0.54,2,440,127,2321,401,0.19,0.056,0.88,3,1798,355,2321,401,0.775,0.153,0.97,4,24
42101007000,842,294,3528,510,0.239,0.083,0.64,2,3528,510,0.145,0.039,511,111,0.56,2,2097,356,3528,510,0.594,0.053,0.96,4,3414,482,3528,510,0.968,0.137,0.95,4,10,15,3528,510,0.003,0.004,0.03,1,172,98,3528,510,0.049,0.028,0.26,1,24,28,3242,457,0.007,0.008,0.09,1,478,146,3528,510,0.135,0.035,0.62,2,2484,572,3528,510,0.704,0.162,0.95,4,21
42101007101,575,200,2607,372,0.221,0.077,0.5,2,2607,372,0.154,0.033,401,72,0.63,2,1381,228,2607,372,0.53,0.056,0.65,2,2486,365,2607,372,0.954,0.14,0.94,4,5,9,2607,372,0.002,0.003,0.03,1,401,164,2607,372,0.154,0.063,0.79,3,51,53,2324,300,0.022,0.023,0.33,1,501,132,2508,369,0.2,0.056,0.91,3,1658,373,2508,369,0.661,0.149,0.92,4,22
42101007102,1035,405,4815,605,0.215,0.084,0.45,2,4815,605,0.139,0.035,671,166,0.51,2,2492,391,4815,605,0.518,0.047,0.51,2,4750,610,4815,605,0.987,0.127,0.98,4,17,26,4815,605,0.004,0.005,0.04,1,436,293,4815,605,0.091,0.061,0.57,2,44,71,4508,533,0.01,0.016,0.14,1,1088,268,4815,605,0.226,0.05,0.94,4,2997,634,4804,601,0.624,0.132,0.9,4,22
42101007200,1081,328,4335,549,0.249,0.076,0.72,2,4335,549,0.157,0.025,680,76,0.65,2,2215,309,4335,549,0.511,0.047,0.43,2,4204,540,4335,549,0.97,0.125,0.96,4,80,88,4335,549,0.018,0.02,0.2,1,477,320,4335,549,0.11,0.074,0.66,2,61,47,4028,498,0.015,0.011,0.22,1,945,220,4299,548,0.22,0.05,0.93,4,2465,522,4253,546,0.58,0.123,0.86,3,21
