GEOID,RM_CntMOE
42045400301,877
42045400302,467
42045400401,454
42045400402,538
42045400500,539
42045400600,327
42045400700,452
42045400801,422
42045400802,298
42045400900,153
42045401000,145
42045401101,331
42045401103,261
42045401104,464
42045401200,253
42045401301,331
42045401302,134
42045401401,99
42045401402,289
42045401501,170
42045401502,288
42045401600,249
42045401700,146
42045401800,505
42045401900,387
42045402000,459
42045402100,320
42045402200,273
42045402300,300
42045402400,395
42045402500,354
42045402600,279
42045402700,173
42045402800,282
42045402900,320
42045403001,77
42045403002,116
42045403101,354
42045403103,345
42045403104,281
42045403200,341
42045403300,643
42045403401,310
42045403402,228
42045403501,239
42045403502,265
42045403601,228
42045403602,163
42045403701,65
42045403702,52
42045403800,349
42045403901,127
42045403902,107
42045404003,233
42045404004,205
42045404101,191
42045404102,324
42045404103,96
42045404300,158
42045404400,170
42045404500,532
42045404600,186
42045404700,264
42045404800,285
42045404900,302
42045405000,231
42045405100,279
42045405200,388
42045405300,445
42045405400,264
42045406100,136
42045406201,118
42045406202,213
42045406300,278
42045406401,176
42045406402,144
42045406500,217
42045406600,148
42045406700,126
42045406801,214
42045406802,217
42045406803,407
42045406902,343
42045406903,102
42045406904,276
42045407000,95
42045407101,152
42045407102,143
42045407201,154
42045407202,45
42045407401,217
42045407404,173
42045407501,119
42045407502,163
42045407600,296
42045407700,128
42045407801,133
42045407802,308
42045407803,261
42045407804,120
42045407805,89
42045407806,135
42045407901,265
42045407902,142
42045407903,286
42045408001,146
42045408002,131
42045408101,180
42045408102,181
42045408103,212
42045408300,208
42045408400,48
42045408500,124
42045408600,164
42045408700,209
42045408800,337
42045408900,214
42045409000,296
42045409100,111
42045409200,167
42045409300,69
42045409400,140
42045409500,246
42045409601,281
42045409602,237
42045409701,233
42045409702,77
42045409802,284
42045409803,271
42045409902,368
42045409903,155
42045409904,98
42045410000,174
42045410100,287
42045410200,165
42045410301,329
42045410302,460
42045410400,282
42045410500,548
42045410601,232
42045410602,148
42045410700,503
42045410800,343
42045980000,0
42091200103,212
42091200104,121
42091200105,142
42091200106,140
42091200200,52
42091200301,357
42091200305,56
42091200306,83
42091200307,217
42091200308,217
42091200309,78
42091200310,55
42091200401,114
42091200402,179
42091200501,129
42091200502,246
42091200505,399
42091200506,148
42091200507,187
42091200602,538
42091200603,115
42091200605,430
42091200606,204
42091200607,204
42091200703,363
42091200704,279
42091200707,286
42091200708,274
42091200800,231
42091200901,372
42091200902,128
42091200903,264
42091200906,146
42091200907,188
42091200908,175
42091201003,320
42091201004,449
42091201005,137
42091201006,138
42091201100,164
42091201201,241
42091201203,130
42091201204,99
42091201301,243
42091201302,339
42091201404,140
42091201406,140
42091201407,210
42091201408,105
42091201409,127
42091201410,166
42091201411,112
42091201501,276
42091201502,80
42091201603,285
42091201604,191
42091201605,214
42091201606,226
42091201607,351
42091201608,442
42091201703,217
42091201704,185
42091201705,126
42091201706,249
42091201800,165
42091201901,162
42091201902,226
42091202000,100
42091202100,354
42091202201,396
42091202202,200
42091202301,365
42091202302,140
42091202401,320
42091202402,368
42091202500,685
42091202602,175
42091202603,204
42091202604,134
42091203000,149
42091203103,92
42091203104,78
42091203105,289
42091203106,99
42091203203,221
42091203204,468
42091203205,143
42091203207,245
42091203208,130
42091203302,340
42091203303,328
42091203304,133
42091203401,327
42091203402,382
42091203403,248
42091203500,659
42091203601,380
42091203602,352
42091203700,238
42091203801,297
42091203803,484
42091203804,404
42091203901,507
42091203902,410
42091204002,333
42091204007,137
42091204008,176
42091204009,115
42091204010,184
42091204101,66
42091204102,159
42091204200,49
42091204300,182
42091204400,155
42091204500,108
42091204600,215
42091204701,124
42091204702,194
42091204800,113
42091204900,200
42091205000,166
42091205100,149
42091205200,121
42091205300,112
42091205400,267
42091205501,284
42091205502,165
42091205503,205
42091205600,229
42091205700,370
42091205801,255
42091205805,144
42091205806,146
42091205807,184
42091205808,178
42091205809,135
42091205903,151
42091205904,88
42091205905,316
42091205906,237
42091206004,276
42091206005,209
42091206006,76
42091206007,546
42091206102,350
42091206104,174
42091206105,144
42091206106,420
42091206201,76
42091206202,176
42091206300,234
42091206400,254
42091206501,137
42091206502,172
42091206600,31
42091206702,186
42091206703,189
42091206704,130
42091206801,264
42091206802,148
42091206901,273
42091206904,197
42091206905,362
42091206906,100
42091207001,175
42091207003,161
42091207004,295
42091207101,206
42091207103,238
42091207104,118
42091207201,123
42091207202,265
42091207300,145
42091207400,61
42091207500,37
42091207600,36
42091207800,310
42091207900,61
42091208000,163
42091208100,70
42091208201,35
42091208203,127
42091208204,74
42091208301,64
42091208302,247
42091208400,103
42091208500,130
42091208601,279
42091208603,261
42091208604,398
42091208702,119
42091208703,240
42091208704,396
42091208801,171
42091208802,267
42091208901,225
42091208903,323
42091208904,317
42091208905,228
42091208906,453
42091209000,151
42091209100,233
42091209201,98
42091209202,189
42091210100,354
42091210200,118
42091210300,148
42091210400,212
42091210500,301
42091210600,222
42091210700,336
42101000100,380
42101000200,397
42101000300,223
42101000401,243
42101000402,179
42101000500,650
42101000600,91
42101000700,374
42101000801,141
42101000803,215
42101000804,238
42101000901,141
42101000902,136
42101001001,133
42101001002,103
42101001101,225
42101001102,229
42101001201,214
42101001202,244
42101001300,475
42101001400,385
42101001500,229
42101001600,93
42101001700,203
42101001800,243
42101001900,265
42101002000,177
42101002100,268
42101002200,345
42101002300,183
42101002400,201
42101002500,359
42101002701,531
42101002702,281
42101002801,678
42101002802,542
42101002900,464
42101003001,415
42101003002,361
42101003100,533
42101003200,654
42101003300,842
42101003600,748
42101003701,932
42101003702,407
42101003800,148
42101003901,606
42101003902,169
42101004001,442
42101004002,248
42101004101,701
42101004102,993
42101004201,338
42101004202,586
42101005000,0
42101005400,197
42101005500,888
42101005600,197
42101006000,720
42101006100,371
42101006200,629
42101006300,573
42101006400,567
42101006500,553
42101006600,571
42101006700,861
42101006900,446
42101007000,382
42101007101,374
42101007102,769
42101007200,556
42101007300,407
42101007400,682
42101007700,191
42101007800,504
42101007900,485
42101008000,494
42101008101,589
42101008102,710
42101008200,1054
42101008301,661
42101008302,555
42101008400,693
42101008500,816
42101008601,270
42101008602,354
42101008701,533
42101008702,282
42101008801,209
42101008802,453
42101009000,339
42101009100,426
42101009200,449
42101009300,645
42101009400,382
42101009500,464
42101009600,632
42101009801,300
42101009802,741
42101010000,435
42101010100,832
42101010200,481
42101010300,451
42101010400,752
42101010500,472
42101010600,306
42101010700,567
42101010800,411
42101010900,294
42101011000,716
42101011100,355
42101011200,843
42101011300,522
42101011400,1002
42101011500,439
42101011700,136
42101011800,728
42101011900,491
42101012000,179
42101012100,326
42101012201,422
42101012203,129
42101012204,253
42101012500,364
42101013100,177
42101013200,390
42101013300,543
42101013401,91
42101013402,164
42101013500,414
42101013601,185
42101013602,215
42101013700,773
42101013800,280
42101013900,348
42101014000,375
42101014100,501
42101014200,361
42101014300,121
42101014400,525
42101014500,202
42101014600,291
42101014700,444
42101014800,219
42101014900,506
42101015101,359
42101015102,482
42101015200,960
42101015300,361
42101015600,414
42101015700,387
42101015800,198
42101016000,289
42101016100,575
42101016200,389
42101016300,510
42101016400,667
42101016500,592
42101016600,239
42101016701,485
42101016702,411
42101016800,526
42101016901,588
42101016902,848
42101017000,475
42101017100,617
42101017201,570
42101017202,415
42101017300,349
42101017400,315
42101017500,893
42101017601,1044
42101017602,439
42101017701,680
42101017702,661
42101017800,675
42101017900,663
42101018001,190
42101018002,171
42101018300,82
42101018400,46
42101018800,1091
42101019000,978
42101019100,970
42101019200,827
42101019501,720
42101019502,482
42101019700,1065
42101019800,853
42101019900,526
42101020000,248
42101020101,504
42101020102,542
42101020200,756
42101020300,464
42101020400,418
42101020500,389
42101020600,151
42101020700,410
42101020800,235
42101020900,164
42101021000,375
42101021100,146
42101021200,238
42101021300,183
42101021400,277
42101021500,313
42101021600,195
42101021700,319
42101021800,502
42101021900,72
42101022000,165
42101023100,31
42101023500,149
42101023600,117
42101023700,552
42101023800,441
42101023900,195
42101024000,360
42101024100,288
42101024200,458
42101024300,584
42101024400,480
42101024500,481
42101024600,499
42101024700,642
42101024800,366
42101024900,392
42101025200,1065
42101025300,611
42101025400,452
42101025500,387
42101025600,191
42101025700,465
42101025800,223
