GEOID10,OA_CntEst,OA_CntEst_n
42091206201,392,864
42101001300,677,459
42101001400,427,434
42101001500,303,544
42101001600,152,435
42101001700,257,1212
42101001800,296,798
42101001900,164,234
42101002000,271,486
42101002100,276,1568
42101002200,155,390
42101002300,348,637
42101002400,520,843
42101002500,444,1171
42101002900,570,1437
42101003100,546,935
42101005400,224,1338
42101002801,373,842
42101020102,332,872
42101031101,384,1020
42101031102,224,284
42101019502,83,628
42101019501,408,174
42101028901,262,403
42101028902,372,336
42101033101,620,178
42101033102,577,216
42101031501,903,457
42101030501,299,463
42101030502,526,242
42101009802,399,486
42101018001,323,424
42101017702,274,419
42101017701,115,535
42101035602,589,323
42101036201,847,183
42091205501,586,946
42091205300,345,483
42091203000,544,789
42091210300,896,688
42091200105,531,662
42091206400,448,510
42091203205,390,1368
42091207104,1159,1146
42101006400,299,289
42101006500,625,249
42101008400,537,806
42101008500,855,345
42101009000,121,1221
42101009100,594,586
42101009200,233,640
42101009300,435,1067
42101009400,592,559
42101009500,334,489
42101009600,593,664
42101013800,191,565
42101013900,523,263
42101014000,242,221
42101014100,436,1071
42101014200,151,488
42101014300,150,529
42101031000,789,515
42101031200,383,359
42101031300,516,214
42101031600,664,597
42101031700,649,618
34015501210,422,1351
34015501103,592,705
34015501402,366,952
34015502300,278,288
34015500702,739,881
34015501003,413,653
34015501204,667,392
34015501104,631,173
42101036302,388,561
42101036900,155,448
42101037300,1439,219
42101037200,848,475
42101038300,195,231
42101039000,504,130
42101037800,297,825
42101037700,185,1062
42091201706,450,1250
42091201605,484,495
42091202000,337,946
42101006600,535,1810
42101006700,451,502
42101006900,220,567
42101007000,488,896
42101007200,768,474
42101007300,418,753
42101007400,628,1155
42101007700,60,539
42101007800,344,1159
42101011500,435,254
42101011700,213,614
34005702204,324,345
34005702208,875,426
34005700701,424,534
42101036303,1147,544
42101034701,971,1065
42101034802,873,583
42101034900,599,531
42101035100,1604,231
42101035200,766,407
42101035301,738,726
42101026301,707,572
42101000804,652,554
34021004407,787,1128
34021004306,521,728
42091201411,400,661
42091200307,657,942
42091204900,1146,837
42091205400,1221,611
42091204002,463,686
42091204800,1368,823
42091200402,405,403
34005703600,1082,157
34005703700,794,412
34005703801,1286,492
34005703802,693,452
34005703803,1052,329
34005701102,793,489
34005700702,256,590
34015501209,1062,158
34015502200,1111,597
34015500701,1265,187
34015501900,653,300
34015501605,933,519
34021002903,464,511
34021002902,523,896
34021003001,1154,1229
34021003002,980,982
34015500300,350,774
34015501704,564,728
34015501800,249,274
34015501201,828,225
34015500205,951,489
42091203106,234,499
42091208204,572,1100
34015500703,210,83
34015500203,703,76
34015500900,466,411
34015501107,633,126
34015500800,299,884
34015501001,206,652
34015501002,741,166
34015501106,732,577
34005701103,547,858
34005701104,619,628
34005701105,882,454
34005700304,383,186
42101035701,749,560
42101035702,418,585
42101035601,1768,677
42101015101,229,427
42101015102,472,303
42101036501,991,152
34021003003,1463,257
34021003009,1384,296
34021003006,925,164
34021003007,404,271
34021003008,1194,276
34021003004,1284,155
34021003902,267,348
42091207600,544,520
42091206104,288,444
42091200708,900,270
42091206105,881,520
42091206106,653,373
42091200308,477,892
42091203103,435,570
42091208000,531,547
42091210200,511,413
42101014400,326,546
42101014500,257,497
42101014600,625,574
42101014700,31,943
42101014800,161,493
42101014900,702,333
42091208400,728,939
42091200506,321,743
42091200309,407,1046
42101025200,1149,739
42101025300,487,1030
42101025400,849,640
42101025500,466,835
42101025600,551,741
42101028300,462,890
42101028400,419,224
42101028500,207,857
42101028600,358,128
42101028700,156,898
42101028800,276,401
42101029000,515,260
42101013402,174,231
42101013401,803,299
42101013601,334,625
42101037900,831,535
42101038200,239,451
42101038000,234,220
42101038100,57,488
42091200505,1025,398
42091201406,946,664
42091200902,106,768
42091207400,426,418
42091206202,173,628
42091200903,435,60
42091210500,982,344
42091205805,565,347
42101011800,1181,520
42101011900,763,361
42101012000,217,611
42101012100,791,1333
42101012500,863,1041
42101013100,192,511
42101013200,731,537
42101015200,415,855
42101015300,175,312
42101015600,166,301
42101019000,378,134
42101019100,785,69
42101019200,422,0
42101019700,728,66
42101019800,544,121
42101019900,416,594
42101020000,86,233
42101020200,918,435
42101020300,294,592
42101020400,356,334
42101020500,407,593
42101001202,585,231
42101001201,560,399
42101000803,884,513
42101011400,979,820
42101015700,149,393
42101015800,726,296
42101016000,508,640
42101016100,341,1066
42101016200,176,190
42101016300,262,240
42101016400,404,346
42101016500,223,250
42101016600,121,402
42101016800,413,422
42101003901,743,599
42101016902,642,567
42101016901,200,979
42101020700,559,435
42101020800,280,213
42101020900,256,1181
42101021000,591,763
42101021100,339,217
42101021200,271,791
42091201501,1216,795
42091205806,263,39
42091206004,597,1045
42091208703,823,863
42091206901,946,192
34005703804,1100,731
42101013300,135,135
42101013500,420,803
42101013700,547,174
42101017000,290,420
42101017100,628,334
42101017300,329,334
42101017400,281,547
42101017500,713,191
42101017800,255,523
42101017900,561,242
42101018300,554,436
34015501604,872,151
34015501606,993,150
34021001402,248,326
34021001500,303,257
42101002702,520,625
42101003002,413,31
42101003001,547,161
42101002802,892,702
42101002701,270,229
42101033701,1033,472
42101033702,815,415
42101031502,495,175
42101031401,414,166
42101031402,597,149
42091202603,459,726
42091202201,653,508
42091203803,336,341
42091203804,178,176
42091203901,216,262
42091210100,519,404
